	Kopf/NN	geschlagener/ADJ	Schlacht/NN	Schlafzimmer/NN	eitrig/ADJ	Prusiner/NN	Meme/NN	Rückenmark/NN	Weißglut/NN	erwidern/VVF	Einigungschance/NN	Schweigen/NN	verletzender/ADJ	keuchen/VVF	Mailander/NN	tödlich/ADJ	Kneipe/NN	manchmal/ADV	Jäger/NN	hinein/ADV	lange/ADV	Vorschlag/NN	Streiter/NN	Schmerz/NN	darstellen/VVF	anwesend/ADJ	aufwerfen/VVF	arten/VVF	Schulsystem/NN	beruhigen/VVF	Art/NN	Flughafenschaltern/NN	Temperament/NN	zeitweise/ADJ	Orchestertutti/NN	Donezker/NN	beitragen/VVF	Debatten,die/NN	Weise/NN	Krankenhaus/NN	Spezies/NN	Singles/NN	aber/ADV	klug/ADJ	Schülerin/NN	populär/ADJ	Bleibe/NN	Stammtisch-Diskussion/NN	versengenden/ADJ	Gegenzug/NN	gerne/ADV	Gefühl/NN	Höhepunkt/NN	zeigen/VVF	Tag/NN	Schlagzeile/NN	befassen/VVF	Deklaration/NN	Ey/ADJ	Stunt/NN	kirchenintern/ADJ	Schloß/NN	dezimieren/VVF	Schmauchspur/NN	schneidig/ADJ	schön/ADJ	erneut/ADJ	amerikanisch/ADJ	irgendwann/ADV	eiskalt/ADJ	Schwefel/NN	Sudetendeutsche/NN	Ende/NN	stundenlang/ADJ	voll/ADJ	schließlich/ADV	Entstehung/NN	verteidigen/VVF	aufgeladen/ADJ	Debattierclubs/NN	heruntergekommen/ADJ	stimmen/VVF	Punkt/NN	Partie/NN	Strecke/NN	Biopatentdiskussion/NN	Philanthrop/NN	dann/ADV	ka-news-Forum/NN	Pornographie/NN	Kuh/NN	konfus/ADJ	flatternd/ADJ	rufen/VVF	Alt-Erzbischof/NN	Landtagsanhörung/NN	zuletzt/ADV	Publikum/NN	erschießen/VVF	ergiebig/ADJ	Ehefrau/NN	mitten/ADV	ungefällig/ADJ	Vulkan/NN	gebührend/ADJ	Lavater/NN	faschistisch/ADJ	Historiker/NN	erbaut/ADJ	Haß/NN	zusammenkommen/VVF	Überfall/NN	Temperatur/NN	Meister/NN	Überblick/NN	relativieren/VVF	Volle/NN	These/NN	Bundesland/NN	Minister/NN	Minute/NN	dreistündig/ADJ	Card-Debatte/NN	Kellerclub/NN	debattieren/VVF	Aufwind/NN	Gefecht/NN	fallen/VVF	andauernd/ADJ	beherrschen/VVF	Erotik/NN	politisch/ADJ	atembeklemmend/ADJ	unterhalten/VVF	Vierbeiner/NN	Waehrend/ADJ	Beginn/NN	sicher/ADJ	polarisierend/ADJ	brennen/VVF	Müntefering/NN	Kriminalrat/NN	emotional/ADJ	revolutionär/ADJ	miteinander/ADV	zahlreich/ADJ	Folgezeit/NN	bitter/ADJ	recht/ADJ	teils/ADV	entstanden/ADJ	unordentlich/ADJ	Auseinandersetzung/NN	Rücken/NN	Schlägerei/NN	Pylades/NN	Anwesenheit/NN	Trinken/NN	entspannen/VVF	fuer/VVF	bisweilen/ADV	Geschäft/NN	einigen/VVF	Verkehrsexperte/NN	werdend/ADJ	wünschen/VVF	Zeit/NN	Gemüt/NN	Brustkrankheit.../NN	dennoch/ADV	gleich/ADJ	Land/NN	derzeitig/ADJ	AFL/NN	Reformer/NN	Gegenseite/NN	raushaben/VVF	Stimmt/VVF	entfachen/VVF	Leidenschaft/NN	extrem/ADJ	polemisch/ADJ	diskusion/NN	Glaubensgespräch/NN	immer/ADV	Losbude/NN	anschließend/ADJ	heiß/ADJ	sommerlich/ADJ	streiten/VVF	Stimmung/NN	Artikel/NN	flutend/ADJ	Zuschauer/NN	blumig/ADJ	schliesslich/ADJ	benötigen/VVF	Gewaltdarstellung/NN	Woche/NN	bekommen/VVF	keinAnlass/NN	Thema/NN	Beruhigung/NN	intensiv/ADJ	unübersichtlich/ADJ	Krimi/NN	Prüfstand/NN	plötzlich/ADJ	Salsa/NN	VC/NN	noch/ADV	Anlaß/NN	lebhaft/ADJ	Parlament/NN	sinnlos/ADJ	Überaktivität/NN	Kernfusion/NN	entsprechend/ADJ	Verstand/NN	stark/ADJ	richtig/ADJ	kontrovers/ADJ	Flirt/NN	Salzburger/NN	gegenseitig/ADJ	Bauernhofmuseum/NN	Debatte/NN	stinkend/ADJ	umständlich/ADJ	leidenschaftlich/ADJ	Reaktion/NN	beschließen/VVF	Monat/NN	kommen/VVF	spanisch/ADJ	Befürworter/NN	kälter../ADJ	anderswo/ADV	ohnehin/ADV	Haustür/NN	Schuß/NN	Begegnung/NN	oftmals/ADV	Einwohnerfragestunde/NN	Natur/NN	schon/ADV	Glaubensfrage/NN	Gemenge/NN	betäubend/ADJ	mutig/ADJ	Moderation/NN	Streit/NN	EU-Staat/NN	vorausgehen/VVF	Rat/NN	Scheinverfechter/NN	Serie/NN	leiden/VVF	grell/ADJ	Verfechter/NN	Schlund/NN	Arbeitgeberlager/NN	Vorwurf/NN	Bundestag/NN	Kameraführung/NN	Situation/NN	doch/ADV	Verfassungsdebatte/NN	nachrichtlich/ADJ	machen/VVF	diskutieren/VVF	Frage/NN	Lesung/NN	bewegend/ADJ	Flohr/NN	öffentlich/ADJ	Reichstag/NN	durchaus/ADV	Kühle/NN	mehrfach/ADJ	Apostelgruppe/NN	Taft/NN	Diskussion/NN	entstehen/VVF	beginnen/VVF	Impression/NN	kühn/ADJ	wahrlich/ADV	polarisieren/VVF	Frühlingsfest/NN	kochen/VVF	so/ADV	Ausgestaltung/NN	Kampfmittel/NN	Schulreform/NN	Teint/NN	vorläufig/ADJ	ursprünglich/ADJ	geben/VVF	Skandal/NN	Berufung/NN	Haus/NN	Sachsens-Anhalts/NN	glauben/VVF	Derby/NN	Scientologen/NN	Mittwoch/NN	Auktion/NN	wieder/ADV	laufen/VVF	aufbegehrend/ADJ	Experte/NN	Post-'68-Streiten/NN	Monolog/NN	Disput/NN	Fights/NN	Dynamik/NN	Messe-Diskussion/NN	Unzeit/NN	verrückt/ADJ	worden/ADJ	Irak-Krieg/NN	Chaos/NN	Angriff/NN	Menschenrechtsgerichtshöfe/NN	entbrennen/VVF	lang/ADJ	cool/ADJ	Juli/NN	scheinen/VVF	verhindern/VVF	Imbißbudenbesitzer/NN	erzeugen/VVF	Grad/NN	versehentlich/ADJ	Wutanfall/NN	Zusammenstoß/NN	Satzkonstrukte/NN	sehr/ADV	zwi-schen/VVF	folgen/VVF	Talkshow/NN	kritisch/ADJ	Finsternau/NN	Diskussionsrunde/NN	wohnen/VVF	Gelegenheit/NN	Streitpunkt/NN	Gesicht/NN	weniger/ADV	äußerst/ADJ	Wirtschaftlichkeitsaspekt/NN	verlangen/VVF	Wort/NN	Familienmitglied/NN	Terin/NN	hineinsteigere/VVF	Schilderung/NN	verschieden/ADJ	Held/NN	Demokratie/NN	verlaufend/ADJ	Bohr/NN	Zitat/NN	Herzentzündung/NN	ausführlich/ADJ	mal/ADV	frühreif/ADJ	moralisch/ADJ	Rosengesichter/NN	spalten/VVF	Wild/NN	Wahl-kampfzeiten/NN	durchgreifend/ADJ	regelmäßig/ADJ	herrschen/VVF	Erklärung/NN	witzig/ADJ	mehrmals/ADV	Versachlichung/NN	Halbzeit/NN	Blut/NN	Verlauf/NN	Patent/NN	Konventionssekretariats/NN	unversöhnlich/ADJ	kulissenreißenden/ADJ	greifen/VVF	unerträglich/ADJ	Lauf/NN	verzehrendem/ADJ	Grenzpolizist/NN	Schaum/NN	Stellungnahme/NN	Verletzung/NN	Talk-Show/NN	liegen/VVF	turbulent/ADJ	versprechen/VVF	lösen/VVF	Teil/NN	Herzensammeln/NN	geführt/ADJ	Atmosphäre/NN	Mann/NN	aktuell/ADJ	Debatten?Der/NN	beobachten/VVF	wühlen/VVF	Autobahnparkplatz/NN	übergehend/ADJ	liefern/VVF	Spiel/NN	spannend/ADJ	bisher/ADV	laufend/ADJ	befinden/VVF	Sex/NN	streckenweise/ADJ	wütend./ADJ	sorgen/VVF	schrecklich/ADJ	Vgl/NN	kühlen/VVF	schmerzhaft/ADJ	Helfen/NN	Jazzfieber/NN	interpretiert/ADJ	etwas/ADV	Höllische/NN	Aufruhr/NN	Haar/NN	ideologisch/ADJ	teilweise/ADJ	Fehlverhaltensmöglichkeiten/NN	Wortgefecht/NN	Reibung/NN	Verrottung/NN	aufspielen/VVF	besonders/ADV	Polizeimannschaft/NN	Reform/NN	Stunde/NN	Großbauer/NN	dreiwöchig/ADJ	Kontroverse/NN	Jahrgang/NN	Mangel/NN	Sommer/NN	Sondersitzung/NN	Lärm/NN	Sitzung/NN	idiopathischen/ADJ	Fieber/NN	oft/ADV	gern/ADV	langängst/ADJ	Gespräch/NN	erschoss/NN	inzwischen/ADV	Allzusehr/ADJ	Antenne/NN	engagieren/VVF	Cop/NN	Hakims/NN	Match/NN	Bauchenberg/NN	heben/VVF	Kampf/NN	schrecken/VVF	Verhandlung/NN	antworten/VVF	Wille/NN	Finalsatz/NN	Samstagabend/NN	ebenso/ADV	Spielfeldrand/NN	Gegensatz/NN	Nennung/NN	Goldgrab/NN	Gegenstand/NN	vollkommen/ADJ	Wortwechsel/NN	Ethikdebatte/NN	je/ADV	Globalisierungsdebatte/NN	Alexanderplatz/NN	Landtag/NN	zuweilen/ADV	pietistischen/ADJ	Konfession/NN	Teilnehmer/NN	jederzeit/ADV	gehen/VVF	Pisa-Studie/NN	Treppe/NN	feurig/ADJ	führen/VVF	ziemlich/ADJ	gemutmaßt/ADJ	Besondere/NN	Trainingsspiels/NN	Plenarsäle/NN	Staatsunternehmen/NN	respektvoll/ADJ	gesellschaftlich/ADJ	Reformvorhaben/NN	zwölfjährig/ADJ	Passagier/NN	Rede/NN	Prozeß/NN	derzeit/ADV	italienisch/ADJ	begleiten/VVF	offenbar/ADJ	sauer/ADJ	Debattanten/NN	Eifer/NN	â/VVF	Durban/NN	diskutiert/ADJ	Jameson/NN	eng/ADJ	drehen/VVF	herrlich/ADJ	Beratung/NN	Windmühle/NN	gelöscht/ADJ	selbst/ADV	Wahlkampf/NN	unzensiert/ADJ	vorkommen/VVF	Rücktritt/NN	lehnen/VVF	rot/ADJ	Ritzer/NN	Stoff/NN	persönlich/ADJ	verlieren/VVF	e-mail-Debatte/NN	langwierig/ADJ	Choreografie-Talent/NN	natürlich/ADJ	nich/ADJ	Nachkriegszeit/NN	Goldschatz/NN	vielmehr/ADV	Sommerloch/NN	gefuehrten/ADJ	Verabschiedung/NN	lauschen/VVF	zunächst/ADV	Charakter/NN	gewinnen/VVF	Dialog/NN	überaus/ADV	jung/ADJ	Attacke/NN	Wenns/ADJ	/ADJ
Kopf/NN	0.0	0.96544737	0.84668225	0.72978735	0.83691025	0.984877	0.93383473	0.7984266	0.92756283	0.7394576	0.974286	0.8140628	0.96223015	0.71492183	1.0	0.80863345	0.8584447	0.6629699	0.75185615	0.72494996	0.8025317	0.9548476	0.8759438	0.74838006	0.9388999	0.9404803	0.9230437	0.895472	0.93667376	0.7236672	0.93354166	0.98864526	0.82128763	0.8274349	0.96767765	0.9697358	0.95021224	1.0	0.9085623	0.9490503	0.8722656	0.90934205	0.8281623	0.7860037	0.9593184	0.91039515	0.8934627	0.97519916	0.9328351	0.8815254	0.8498662	0.7814659	0.9378096	0.8809429	0.84585845	0.88416535	0.96971804	0.95339245	1.0	0.8806651	0.97338736	0.86399776	0.8977493	0.95792013	0.872132	0.77829015	0.85563755	0.927299	0.72080696	0.65870726	0.86632925	0.9565621	0.89666116	0.69825363	0.72571635	0.7581775	0.94293094	0.89109	0.89628965	0.96008736	0.84297925	0.9313512	0.8756947	0.8636299	0.85274917	1.0	0.95055664	0.63508844	0.9917758	0.9192169	0.6953903	0.86873686	0.6523557	0.79398924	0.994832	0.97634715	0.9196084	0.84702474	0.8085869	0.89903903	0.9191671	0.7033075	0.9537627	0.7992366	0.91633976	0.9341543	0.9084599	0.9276475	0.8992674	0.8529886	0.87410396	0.90582573	0.84301645	0.8676356	0.9571365	0.92312384	0.84652233	0.93842876	0.9560361	0.9508783	0.7919573	0.93398273	0.9958622	0.96216553	0.9321802	0.876428	0.7847675	0.6632958	0.8649634	0.8582036	0.86968327	0.9377063	0.97662234	0.9053185	0.8290122	0.96710813	0.97295797	0.898159	0.93788093	0.6827292	0.91463274	0.9548436	0.88385016	0.90431386	0.9002469	0.93070847	0.8964604	0.8335544	0.7154672	0.83579993	0.93809974	0.8472131	0.92263436	0.3983783	0.8443843	0.96812373	0.935037	0.8427033	0.7265093	0.91410446	0.7572315	0.91839623	0.94601375	0.9678222	0.8482283	0.9135762	0.9077866	0.76992774	1.0	0.8201997	0.824942	0.93922526	0.96497464	0.977497	0.9019029	0.8817046	0.987291	0.96868175	0.8500833	0.8134246	0.8157652	0.8976492	0.96652627	0.96746176	0.7036093	0.9653873	0.79577196	0.7252468	0.84200585	0.87182766	0.8313175	0.9750499	0.8889672	0.8124803	0.8605687	0.77438396	0.9060759	0.92317057	0.9057798	0.77022773	1.0	0.9485496	0.86955494	0.93949443	0.894682	0.8794837	0.9632956	0.5482354	0.8932731	0.96251583	0.82764435	0.96441793	0.81656754	0.9665935	0.855999	0.9296491	0.93883276	0.9754734	0.78575826	0.8516664	0.841334	0.93676	0.86670065	0.93305784	0.89116114	0.98647606	0.923631	0.70475304	0.8705109	0.8088041	0.89143777	0.9474068	0.9296578	0.81584936	0.9138483	0.90563965	1.0	0.8497153	0.86898625	0.73684	0.66876376	0.92066795	0.842465	0.9753349	0.9073584	0.82028955	0.9298984	0.8988344	0.8519082	0.7794585	0.94402057	0.88062245	0.9273907	0.93330926	0.95706344	1.0	0.89262474	0.8752247	0.6774019	0.89581215	0.6946279	0.969231	0.9210137	0.9819998	0.9134846	0.93228674	0.7689326	0.9515862	0.98125684	0.8126	0.92693496	0.92670834	0.9659512	0.8126117	0.9557945	0.96818197	0.910666	0.9248917	0.7376871	0.90759015	1.0	0.8807097	0.93324965	0.86646855	0.8607663	0.90758675	0.76762223	0.860266	0.92419606	0.94759494	0.80107266	0.7721304	0.9765477	0.93042684	0.9486659	0.78096354	0.9649959	0.9330154	0.92761123	0.91252077	0.9633536	0.8039362	1.0	0.89155143	0.8970242	0.8962472	0.97170097	0.90343565	0.6482444	0.7396778	0.92244875	0.94802165	1.0	0.8397397	0.8832486	0.9468821	0.9161354	1.0	0.95222056	0.7261032	0.8572469	0.9216976	0.8441236	0.8901969	0.9999224	0.84337693	0.75153875	0.79419	0.9692729	0.81388223	0.87371236	0.9864274	0.8217927	0.85772586	0.76357067	0.8386946	0.83233607	0.97959185	0.85601705	0.9653243	0.91908866	0.90324795	0.91607034	1.0	0.93389714	0.87478447	0.93043464	0.93146694	0.4597832	0.8550103	0.8756919	1.0	0.93424183	0.8469031	0.90189064	0.9653835	0.9760613	0.9044506	0.9365958	0.78086054	0.9586379	0.80893564	0.92975175	0.9393894	0.9658498	0.97094446	0.7691361	0.90933025	0.9224569	0.92902553	0.8382126	0.8122871	0.9932125	0.95429915	0.92063665	0.8796486	0.9742282	0.8414515	0.73443663	0.9624923	0.83121943	0.68245834	0.92192775	0.9433551	1.0	0.8998339	0.99759823	0.7399124	0.8258988	0.8626052	0.9578273	0.9234362	0.697716	0.9731305	0.87772006	0.9210801	0.8106783	0.8622546	0.9219468	0.7536046	0.91762954	0.993721	0.9330865	0.87670076	0.67847955	0.97454655	1.0	0.7740526	0.7190032	0.9777562	0.87303066	0.90278953	0.84994435	0.8997565	0.9532475	0.9511496	0.8371572	0.86943483	0.8543428	0.952434	0.8763503	0.7911068	0.9860128	0.7170651	0.7728342	0.9043089	0.9819758	0.9396039	0.75257605	0.9474808	0.8387425	0.5090071	0.9056246	0.8793112	0.96290964	0.8834606	0.8245713	0.94565755	0.9244312	0.8681514	1.0	0.95978636	0.84924304	0.9337876	0.94420195	0.91840214	0.9397167	0.9518727	0.8531664	0.9708647	0.8467779	0.9821375	0.9864021	0.7679028	0.7760234	0.7954848	0.8726706	0.945498	0.90636355	0.8870552	1.0	0.78274244	0.94409394	0.85841227	0.9423891	0.8704188	0.973235	0.6010052	0.8939627	0.7747673	0.9699816	0.9084653	0.92484444	0.9515659	0.88978785	0.8757013	0.86238194	0.90757173	0.94536895	0.9220215	0.8975564	0.8592191	0.8849621	0.994368	0.8741385	0.95311457	0.9032394	0.9755836	0.7372024	1.0	0.92467356	0.95370555	0.95973444	0.7924373	0.92127544	0.67581475	0.6877221	0.91519666	0.7121831	0.97803456	0.9534935	0.9768748	0.90498835	0.9523274	0.8735773	0.960314	0.9588691	0.8477111	0.83365005	0.91570896	0.94389963	0.9088967	0.9333117	0.8568685	0.8296404	0.79375476	0.9902985	0.8457483	0.86357075	0.957607	0.9333644	0.87881047	0.9099066	0.5611466	0.7744828	0.98799974	0.84764636	0.9240653	0.8524054	0.9055869	0.9362271	0.85528696	0.9598097	0.8997568	0.5602136	0.9363838	0.86860704	0.95852005	0.80971813	1.0	0.9218241	1.0	0.860129	0.8043889	0.92579865	0.90462303	0.9093826	0.8645954	0.9850485	0.9738698	0.7142209	0.8803845	0.8929362	0.8781582	0.9218342	0.846552	0.84607947	0.8356772	0.8425353	0.88363874
geschlagener/ADJ	0.96544737	0.0	0.9306265	0.9704744	0.98097914	0.98321414	0.96150994	0.97373766	0.97537905	0.9791224	0.9766307	0.9726273	0.9542934	0.9756192	1.0	0.9826246	0.9766781	0.95880264	0.9688725	0.97154075	0.9741189	0.9992622	0.965209	0.9685488	0.9807509	0.97362715	0.96645534	0.9656549	0.97209054	0.98276216	0.9956811	0.99310654	0.9805786	0.98040134	1.0	1.0	0.9800735	1.0	0.993149	0.98467106	0.97238946	0.9664497	0.97344106	0.987242	0.984108	0.9840475	0.97175807	0.9858921	1.0	0.98314476	0.9678586	0.99060833	0.95595044	0.98449135	0.9784121	0.95235807	0.9782893	0.9944265	1.0	0.96763253	0.98097634	0.9689888	0.9572632	0.9964862	0.95360494	0.9713887	0.97419626	0.9747559	0.947433	0.9522402	0.9940413	0.96557695	0.92702633	0.9755595	0.98052716	0.90998423	0.97037864	0.97004557	0.9909712	0.99529415	0.9406378	0.9761824	0.9774304	0.9423702	0.96161485	1.0	0.9876419	0.958182	1.0	0.9710913	0.9918936	0.97727674	0.99175155	0.96515095	0.9477403	1.0	0.9862418	0.9809316	0.96349704	0.9956366	0.9873375	0.96027726	1.0	0.9812499	0.9848906	0.98043674	0.968818	0.971709	0.98968726	0.96650964	0.9475108	0.9629681	0.99429417	0.9582823	0.98958015	0.9874937	0.9806007	0.9937581	0.986349	0.9781313	0.96852094	0.9808805	1.0	1.0	0.9682948	0.9676188	0.95758444	0.9783966	0.9755048	0.96809256	0.9905886	0.9620701	1.0	0.995859	0.9544628	0.98208	0.94998246	0.9481802	0.97957885	0.98881817	0.98098546	0.9837337	0.96590424	0.97804874	0.96387494	0.9932138	0.9815061	0.94486696	0.9690559	0.988944	0.98965955	0.9773909	0.9594244	0.97409105	0.99079525	0.9013949	0.98781824	0.9934232	0.9839644	0.9570646	0.970603	0.95636714	0.9721042	0.99479604	0.95475584	0.9817941	0.98137385	0.98233545	1.0	0.9759619	0.93552613	0.98419505	0.9922752	0.98521715	0.95299715	0.9782087	0.9674483	0.9839783	0.9819391	0.9854846	0.9583701	0.9859632	1.0	0.9910843	0.9499087	1.0	0.96166265	0.99308074	0.97618777	0.96712095	0.98544574	0.998502	0.9879977	0.9649289	0.9880513	0.94654036	0.99301916	0.977667	0.97694945	0.9604149	1.0	0.9978674	0.9802978	0.98887336	0.99218	0.94167477	0.96816164	0.9678828	0.96819866	0.9980889	0.9581419	0.9988134	0.99354213	0.9923522	0.9751728	0.9789145	0.9762055	0.9891703	0.9872621	0.97899985	0.9412711	0.9865906	0.9639713	0.98358124	0.9899542	0.9814964	0.9782152	0.97059244	0.97233355	0.97001874	0.96912646	0.9767699	0.9780319	0.9570644	0.97169715	0.98208874	1.0	0.9570816	0.9659282	0.97864234	0.97702694	0.9497699	0.95070344	1.0	0.97597533	0.96416163	0.993855	0.9838216	0.97126687	0.9750367	0.9978246	0.9521384	0.9989966	0.9555625	0.9942398	1.0	0.96425605	0.96631604	0.98883015	0.97450006	0.9530707	0.9615638	0.98477423	0.98188215	0.9864392	0.97354877	0.9599018	0.9883627	0.9985536	0.9605823	0.97638196	0.9669885	0.99134743	0.9706866	0.99018335	0.9854357	0.97453445	0.98874825	0.98141503	0.96295804	1.0	0.9775705	0.98599035	0.97913885	0.9485085	0.9937908	0.9773151	0.95531666	0.9715151	0.98104304	0.9691361	0.9590053	0.99309355	0.98787165	0.9868076	0.97280914	0.9812377	0.98396224	0.96576214	0.9842297	0.9928094	0.9642968	1.0	0.9483689	0.9549201	0.9820522	0.9862193	0.97061557	0.95853317	0.9635842	0.9703483	0.99188125	1.0	0.9618426	0.9560528	0.9802245	0.97649485	1.0	0.9784155	0.9596573	0.96313196	0.97656286	0.97320133	0.9748177	1.0	0.9732151	0.9524982	0.9789615	0.96484214	0.9396846	0.98489237	1.0	0.981957	0.99056363	0.9649119	0.959851	0.9847188	0.9645674	0.9773324	0.96783674	0.98640734	0.97768813	0.9899759	1.0	0.997466	0.97096753	0.97693676	0.99572545	0.9524013	0.9854572	0.98673195	1.0	0.98638093	0.9657058	0.95148176	0.99191	0.9905601	0.95961493	0.98208374	0.9094517	0.9793551	0.9870964	0.95944136	0.99001247	0.9626304	0.9905274	0.959787	0.9674901	0.9588353	1.0	0.9721309	0.97916394	0.9816365	0.97474813	0.9939783	0.9703411	0.9911758	0.99017495	0.9913245	0.9947035	0.96650374	0.9764056	0.97323847	0.9878189	1.0	0.9392109	1.0	0.9667628	0.95509905	0.9351378	1.0	0.9779648	0.97694653	0.99410665	0.98224205	0.9817552	0.9805141	0.95592827	0.9772357	0.97718734	0.9934902	1.0	0.9686425	0.9851232	0.9255685	0.9968985	1.0	0.9821005	0.9879466	0.9706735	0.9986614	0.98229533	0.96108425	0.9793621	0.9910154	0.9856397	0.983958	0.97887397	0.9710785	0.98063904	0.9866478	0.9421852	1.0	0.99019	0.96206754	0.97843504	1.0	0.971347	0.9585516	0.9852015	0.97738326	0.97521466	0.9836465	0.97943676	1.0	0.97915804	0.98557687	0.9899399	0.97014284	0.96838576	1.0	0.97595453	0.97835976	0.9837809	0.9671274	0.9809759	0.96512365	0.9900836	0.96484065	0.9777624	0.9892753	0.98760796	0.9803407	0.9781186	0.95243716	0.97231865	0.97260225	0.97321904	0.9892105	0.96664	1.0	0.9931594	0.9806477	0.953328	1.0	0.9344417	0.99708146	0.99640435	0.93885225	0.97817934	0.97135913	0.99531484	0.9617416	0.9883424	0.9653417	0.9832571	0.9749448	0.97736657	0.9712876	0.98370266	0.98898375	0.96695286	0.9803521	0.97256637	0.9754861	0.9923788	0.9850832	0.99485874	0.95968485	1.0	0.98008066	0.97485334	0.98448527	0.9419908	0.9518128	0.9662752	0.98093534	0.9550706	0.9508933	1.0	0.99625117	1.0	0.96079284	0.9928292	0.97479004	0.9773515	0.98517996	0.9381436	0.9661232	0.9843757	0.9536325	0.9875789	0.9725464	0.96204436	0.9628526	0.9724707	0.970751	0.9754741	0.952425	0.99026054	0.9960054	0.96814406	0.97635454	0.97661424	0.9790917	0.989851	0.9894587	0.96669376	0.9487729	0.9667921	0.9842859	0.976504	0.9748843	0.9931082	0.9734752	0.99525446	0.98737305	0.96963304	0.9819069	1.0	0.96542054	1.0	0.986053	0.94770443	0.9546821	0.98238367	0.97758454	0.96356833	0.99756396	0.97962594	0.98961335	0.9724704	0.97989446	0.9542642	0.97381645	0.9793881	0.942083	0.9714762	0.95014954	0.96025056
